# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 260         5.180       52.100      1.90        De Bilt     
# 279         6.574       52.750      15.80       Hoogeveen   
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
# TN        : Minimum temperatuur (in 0.1 graden Celsius) / Minimum temperature (in 0.1 degrees Celsius)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# STN,YYYYMMDD,   TG,   TN,   TX
  260,20200101,    8,   -2,   18
  260,20200102,   39,   13,   74
  260,20200103,   76,   43,   99
  260,20200104,   67,   40,   81
  260,20200105,   69,   59,   76
  260,20200106,   60,   35,   70
  260,20200107,   66,   43,   83
  260,20200108,  104,   82,  117
  260,20200109,  115,   90,  130
  260,20200110,   68,   28,   99
  260,20200111,   60,   18,   74
  260,20200112,   75,   55,  101
  260,20200113,   78,   57,  107
  260,20200114,  106,   90,  129
  260,20200115,   94,   62,  121
  260,20200116,   72,   32,  102
  260,20200117,   83,   54,  102
  260,20200118,   45,   26,   77
  260,20200119,   35,  -11,   82
  260,20200120,   29,  -21,   70
  260,20200121,    7,  -14,   21
  260,20200122,   44,   16,   62
  260,20200123,   37,  -17,   68
  260,20200124,   23,   -6,   35
  260,20200125,   20,    9,   26
  260,20200126,   55,    5,   93
  260,20200127,   82,   70,   94
  260,20200128,   54,   38,   72
  260,20200129,   60,   44,   73
  260,20200130,   85,   64,  114
  260,20200131,  109,   89,  125
  260,20200201,  106,   86,  120
  260,20200202,   89,   65,  115
  260,20200203,   92,   64,  110
  260,20200204,   51,   12,   73
  260,20200205,   48,   -2,   84
  260,20200206,   50,   20,   96
  260,20200207,   39,   -9,   78
  260,20200208,   70,   30,   99
  260,20200209,  100,   77,  125
  260,20200210,   80,   48,  106
  260,20200211,   63,   49,   73
  260,20200212,   55,   33,   77
  260,20200213,   57,   31,   87
  260,20200214,   73,   56,   87
  260,20200215,  106,   75,  135
  260,20200216,  121,   81,  167
  260,20200217,   81,   66,  101
  260,20200218,   76,   37,   96
  260,20200219,   62,   45,   82
  260,20200220,   82,   47,  104
  260,20200221,   73,   40,   89
  260,20200222,   92,   69,  117
  260,20200223,   87,   54,  129
  260,20200224,   76,   36,  108
  260,20200225,   66,   19,  103
  260,20200226,   34,    4,   66
  260,20200227,   27,    1,   39
  260,20200228,   46,   19,   84
  260,20200229,   87,   52,  126
  260,20200301,   66,   46,   92
  260,20200302,   55,   35,   78
  260,20200303,   44,    9,   88
  260,20200304,   65,   35,  105
  260,20200305,   55,   44,   68
  260,20200306,   62,   38,   85
  260,20200307,   66,   -8,  106
  260,20200308,   87,   71,  102
  260,20200309,   78,   63,  106
  260,20200310,  101,   63,  119
  260,20200311,  110,   92,  135
  260,20200312,   84,   58,  110
  260,20200313,   66,   17,   90
  260,20200314,   67,    4,  118
  260,20200315,   96,   77,  112
  260,20200316,   75,   22,  130
  260,20200317,   86,   12,  133
  260,20200318,  105,   67,  137
  260,20200319,   85,   69,   99
  260,20200320,   67,   34,   91
  260,20200321,   46,    2,   92
  260,20200322,   46,   -2,   97
  260,20200323,   47,    0,  101
  260,20200324,   49,   -1,  105
  260,20200325,   55,  -43,  127
  260,20200326,   66,   12,  118
  260,20200327,   85,   22,  153
  260,20200328,   74,   41,  119
  260,20200329,   47,    9,   74
  260,20200330,   38,  -31,   97
  260,20200331,   41,  -12,   92
  260,20200401,   39,  -38,  100
  260,20200402,   70,    0,  113
  260,20200403,   66,   -2,  103
  260,20200404,   73,   -8,  146
  260,20200405,  126,   19,  196
  260,20200406,  143,   84,  230
