STN,YYYYMMDD,TG,TN,TX
260,20220101,123,109,132
260,20220102,117,102,130
260,20220103,97,88,110
260,20220104,65,32,89
260,20220105,51,23,76
260,20220106,37,-11,65
260,20220107,37,7,67
260,20220108,29,-26,62
260,20220109,46,-15,77
260,20220110,17,-25,69
260,20220111,23,2,52
260,20220112,40,31,50
260,20220113,43,33,53
260,20220114,46,32,60
260,20220115,23,8,43
260,20220116,53,15,73
260,20220117,64,21,91
260,20220118,34,1,64
260,20220119,36,-18,71
260,20220120,35,-9,61
260,20220121,41,-7,70
260,20220122,64,56,76
260,20220123,61,47,73
260,20220124,45,37,57
260,20220125,30,24,38
260,20220126,42,23,60
260,20220127,70,50,96
260,20220128,66,45,90
260,20220129,91,64,117
260,20220130,60,43,84
260,20220131,57,35,71
260,20220201,74,34,99
260,20220202,87,71,107
260,20220203,76,69,85
260,20220204,67,38,91
260,20220205,64,34,81
260,20220206,74,40,94
260,20220207,63,29,83
260,20220208,100,72,125
260,20220209,89,83,100
260,20220210,68,42,85
260,20220211,38,-24,77
260,20220212,26,-36,73
260,20220213,61,10,103
260,20220214,90,59,114
260,20220215,75,55,92
260,20220216,111,83,132
260,20220217,90,68,124
260,20220218,84,60,123
260,20220219,61,45,84
260,20220220,82,42,107
260,20220221,65,41,82
260,20220222,71,37,105
260,20220223,80,41,113
260,20220224,62,27,101
260,20220225,47,-7,86
260,20220226,22,-27,87
260,20220227,42,-20,92
260,20220228,45,1,95
260,20220301,52,18,83
260,20220302,56,13,117
260,20220303,50,-25,117
260,20220304,42,-9,110
260,20220305,26,-33,87
260,20220306,24,-19,64
260,20220307,23,-44,77
260,20220308,49,-8,101
260,20220309,61,-4,132
260,20220310,85,3,153
260,20220311,101,56,144
260,20220312,112,72,151
260,20220313,121,85,165
260,20220314,90,30,135
260,20220315,74,24,141
260,20220316,91,11,132
260,20220317,76,0,118
260,20220318,78,-17,153
260,20220319,88,37,141
260,20220320,45,-11,87
260,20220321,77,-19,163
260,20220322,103,24,196
260,20220323,98,0,193
260,20220324,94,5,183
260,20220325,86,-8,167
260,20220326,104,14,174
260,20220327,103,58,164
260,20220328,83,26,143
260,20220329,82,44,140
260,20220330,60,4,106
260,20220331,19,0,45
260,20220401,21,-3,47
260,20220402,24,-32,63
260,20220403,30,-40,85
260,20220404,71,33,107
260,20220405,100,75,119
260,20220406,97,88,107
260,20220407,80,42,113
260,20220408,63,33,88
260,20220409,58,22,96
260,20220410,62,13,119
260,20220411,91,2,150
260,20220412,138,65,206
